Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word,TRUE
Abbott Medical Optics Inc.,19662,abbott medical optics,abbott,Abbott Mead Vickers,44639,94.0,abbott medical,Medica,19904,88.8,abbott medical optics,Medica,2720,88.8,ABBOTT
Adani Welspun Exploration Ltd.,11951,adani welspun exploration,adani,Adani Enterprises,97107,91.4,adani welspun,Welspun,98182,88.8,adani welspun exploration,Welspun,98182,88.8,ADANI
Aditya Birla Finance Limited,11492,aditya birla finance,aditya,Aditya Birla Money,98349,95.8,aditya birla,Aditya Birla Money,98349,95.8,aditya birla finance,Aditya Birla Financial Services,97257,91.6,Aditya Birla
Aditya Birla Housing Finance Limited,11688,aditya birla housing finance,aditya,Aditya Birla Sun Life AMC,97258,94.4,aditya birla,Aditya Birla Sun Life AMC,97258,94.4,aditya birla housing,Birla,165313,86.0,Aditya Birla
Aditya Birla Minacs Worldwide Limited,11639,aditya birla minacs worldwide,aditya,Aditya Birla Minerals,59,94.4,aditya birla,Aditya Birla Minerals,59,94.4,aditya birla minacs,Birla,165312,85.8,Aditya Birla
All America Latina Logistic Malha Norte S.A.,3978,all america latina logistic malha norte,all,All America Latina Logistica Unit 144A GDR 1:1,202445,94.6,all america,All America Latina Logistica Unit 144A GDR 1:1,202445,94.6,all america latina,All America Latina Logistica Unit 144A GDR 1:1,202445,94.6,ALL  America Latina Logistica
All America Latina Logistica Mahla Paulista S.,4037,all america latina logistica mahla paulista s.,all,All America Latina Logistica Unit 144A GDR 1:1,202445,94.8,all america,All America Latina Logistica Unit 144A GDR 1:1,202445,94.8,all america latina,All America Latina Logistica Unit 144A GDR 1:1,202445,94.8,ALL  America Latina Logistica
All America Latina Logistica SA,3992,all america latina logistica,all,All America Latina Logistica Unit 144A GDR 1:1,202445,95.2,all america,All America Latina Logistica Unit 144A GDR 1:1,202445,95.2,all america latina,All America Latina Logistica Unit 144A GDR 1:1,202445,95.2,ALL  America Latina Logistica
Alliance & Leicester Group Treasury PLC,9010,alliance & leicester group treasury,alliance,Alliance and Leicester (XETRA),309685,94.2,alliance &,Alliance and Leicester (XETRA),309685,86.2,alliance & leicester,IA,119645,82.2,Alliance
"Alliance Global Group Cayman Islands, Inc.",14868,alliance global group cayman islands,alliance,Alliance Global Group,106301,94.8,alliance global,Alliance Global Group,106301,94.8,alliance global group,Alliance Global Group,106301,94.8,Alliance
Alliance Healthcare Deutschland AG,7463,alliance healthcare deutschland,alliance,Alliance Healthcare Services,58954,95.0,alliance healthcare,Alliance Healthcare Services,58954,95.0,alliance healthcare deutschland,Alliance Health,69800,93.0,Alliance
Alliance Pipeline Limited Partnership,5035,alliance pipeline partnership,alliance,Atlantic Alliance Partnership,142515,95.2,alliance pipeline,Line,27889,84.8,alliance pipeline partnership,Artner,107941,86.8,Alliance
AllianceBernstein L.P.,21954,alliancebernstein,alliancebernstein,Alliancebernstein Income Fund,142314,94.8,alliancebernstein,Alliancebernstein Income Fund,142314,94.8,alliancebernstein,Alliancebernstein Income Fund,142314,94.8,Alliance
Allianz Finance Corporation,22305,allianz finance corporation,allianz,Allianz France Vie,14466,93.4,allianz finance,Allianz Securities,164766,88.2,allianz finance corporation,AB Corporation,23877,91.6,Allianz Securities
Allianz Finance II BV,16209,allianz finance ii bv,allianz,Allianz France Vie,14466,95.4,allianz finance,Allianz Securities,164766,90.0,allianz finance ii,Allianz Securities,164766,90.0,Allianz Securities
Allianz Finance III B.V.,16331,allianz finance iii b.v.,allianz,Allianz France Vie,14466,94.2,allianz finance,Allianz Securities,164766,89.0,allianz finance iii,Allianz,87359,89.0,Allianz Securities
Allianz Leasing Bulgaria AD,3820,allianz leasing bulgaria ad,allianz,Vallianz Holdings Nil Paid,226009,92.8,allianz leasing,Allianz,87359,88.2,allianz leasing bulgaria,Allianz,87359,88.2,Allianz Securities
Allianz Managed Operations & Services SE,7754,allianz managed operations & services se,allianz,Allianz Malaysia Conversion Preference,171618,91.8,allianz managed,Allianz,87359,86.0,allianz managed operations,Allianz Securities,164766,86.0,Allianz Securities
Alpha 2 B.V.,16438,alpha 2 b.v.,alpha,Alpha On,183,92.0,alpha 2,Alpha,107718,91.8,alpha 2 b.v.,Alpha,107718,91.8,alpha
Alpha 3 B.V.,16431,alpha 3 b.v.,alpha,Alpha On,183,92.0,alpha 3,Alpha,177278,91.8,alpha 3 b.v.,Alpha,107718,91.8,alpha
Alpha Bank SA,998,alpha bank,alpha,Alpha On,183,95.6,alpha bank,Alpha Bank (XETRA),309700,94.2,alpha bank,Alpha Bank (XETRA),309700,94.2,alpha
Alpha Credit Group PLC,9068,alpha credit group,alpha,Alpha DX Group,116749,96.2,alpha credit,Alpha,32218,88.6,alpha credit group,DIT Group,100130,93.4,alpha
Alpha Group Jersey Limited,12401,alpha group jersey,alpha,Alpha Security Group,192632,95.2,alpha group,Alpha Security Group,192632,95.2,alpha group jersey,Alpha Security Group,192632,95.2,alpha
Altice France Holding S.A.,15286,altice france holding,altice,Altice Europe B,164796,91.2,altice france,Altice SA,164797,88.8,altice france holding,Altice SA,164797,88.8,Altice
Altice Luxembourg SA,15327,altice luxembourg,altice,Altice Europe,14516,93.4,altice luxembourg,Altice SA,164797,90.4,altice luxembourg,Altice SA,164797,90.4,Altice
AmBev International Finance Co. Ltd.,4155,ambev international finance,ambev,Ambev Forward On,148505,89.4,ambev international,International,206505,93.0,ambev international finance,National Finance,43130,94.8,AmBev
American Honda Finance Corporation,21315,american honda finance corporation,american,American National Bancorporation,62421,95.8,american honda,American Security,62447,87.6,american honda finance,American Security,62447,87.6,
Amundi Luxembourg S.A.,15218,amundi luxembourg,amundi,Amundi (XETRA),267796,93.0,amundi luxembourg,EMB,118554,86.0,amundi luxembourg,EMB,118554,86.0,Amundi
Amundi Luxembourg S.A..,15252,amundi luxembourg s.a..,amundi,Amundi ETF EM Asia,162293,91.8,amundi luxembourg,EMB,118554,84.6,amundi luxembourg s.a..,EMB,118554,84.6,Amundi
"Ant Group Co., Ltd.",7071,ant group,ant,Giant Group,129677,98.0,ant group,Giant Group,129677,98.0,ant group,Giant Group,129677,98.0,ANT
"Anvil Holdings, Inc.",20776,anvil holdings,anvil,Anvil Mining,5152,93.8,anvil holdings,Hanil Holdings,119295,95.4,anvil holdings,Hanil Holdings,119295,95.4,Anvil
Apollo Fibres Limited,11518,apollo fibres,apollo,Apollo Finvest,98636,96.2,apollo fibres,AP,14627,85.4,apollo fibres,AP,14627,85.4,Apolloa Bankcorp
Arch Capital Finance LLC,24421,arch capital finance,arch,Archway Capital Fund,44978,95.0,arch capital,Monarch Capital,66609,93.8,arch capital finance,Capital Securities,115447,90.4,
Autopista Concesionaria Astur-Leonesa S.A.,8012,autopista concesionaria astur-leonesa,autopista,Autopista Los Libertadores SA,5382,91.4,autopista concesionaria,Top,86659,83.0,autopista concesionaria astur-leonesa,LEO,179510,83.0,Autopista
Autopista Fernao Dias S.A.,4319,autopista fernao dias,autopista,Autopistas del Sol,81475,93.4,autopista fernao,IST Limited,101603,85.0,autopista fernao dias,Dias,143874,86.4,Autopista
Autopista Litoral Sul S.A.,4321,autopista litoral sul,autopista,Autopistas del Sol,81475,94.4,autopista litoral,Litoral,94261,90.0,autopista litoral sul,Litoral,111317,90.0,Autopista
Autopista Planalto Sul S.A.,4320,autopista planalto sul,autopista,Autopistas del Sol,81475,94.0,autopista planalto,Plan,3311,86.2,autopista planalto sul,Plan,3311,86.2,Autopista
Autopista Regis Bittencourt S.A.,4318,autopista regis bittencourt,autopista,Autopista Los Libertadores SA,5382,92.0,autopista regis,Regis,199862,86.2,autopista regis bittencourt,Regis,199862,86.2,Autopista
"Autopista Tenango-Ixtapan de la Sal, S.A. de C",15657,autopista tenango-ixtapan de la sal de c,autopista,Autopistas del Sol,81475,91.0,autopista tenango-ixtapan,Ten,30895,82.8,autopista tenango-ixtapan de,Tap,22728,82.8,Autopista
"Autopista Vasco-Aragonesa, Concesionaria Espan",8005,autopista vasco-aragonesa concesionaria espan,autopista,Autopista Los Libertadores SA,5382,90.2,autopista vasco-aragonesa,Arago,142453,84.0,autopista vasco-aragonesa concesionaria,Arago,142453,84.0,Autopista
"Autopista del Sol, Concesionaria Espanola S.A.",8092,autopista del sol concesionaria espanola,autopista,Autopistas del Sol (Non-NASDAQ OTC),243926,93.4,autopista del,Autopistas del Sol (Non-NASDAQ OTC),243926,87.0,autopista del sol,Autopistas del Sol (Non-NASDAQ OTC),243926,88.6,Autopista
"Autopistas Del Atlantico, C.E.S.A",8002,autopistas del atlantico c.e.s.a,autopistas,Autopistas del Sol,81475,92.8,autopistas del,Autopistas del Sol,81475,92.8,autopistas del atlantico,Atlantic,340,88.0,Autopista
Axiata SPV1 (Labuan) Limited,15896,axiata spv1 (labuan),axiata,XL Axiata (BRN),229098,92.6,axiata spv1,Axia,62781,86.6,axiata spv1 (labuan),Axia,62781,86.6,Axiata Group
Axiata SPV2 Berhad,15938,axiata spv2 berhad,axiata,XL Axiata (XETRA),316808,91.4,axiata spv2,Axia,62781,87.2,axiata spv2 berhad,Axia,62781,87.2,Axiata Group
Axiata SPV5 (Labuan) Limited,16024,axiata spv5 (labuan),axiata,XL Axiata (BRN),229098,92.6,axiata spv5,Axia,193187,86.6,axiata spv5 (labuan),Axia,62781,86.6,Axiata Group
BAC CAPITAL TRUST VII,21999,bac capital vii,bac,BAC Capital Trust IV,62793,98.0,bac capital,BAC Capital Trust IV,62793,98.0,bac capital vii,Security Capital,76742,92.8,BAC Capital Trust IV
BAC CAPITAL TRUST XIII,22274,bac capital xiii,bac,BAC Capital Trust IV,62793,97.4,bac capital,BAC Capital Trust IV,62793,97.4,bac capital xiii,Capital Limited,125283,92.2,BAC Capital Trust IV
BAC CAPITAL TRUST XV,22345,bac capital xv,bac,BAC Capital Trust IV,62793,98.6,bac capital,BAC Capital Trust IV,62793,98.6,bac capital xv,Capital Trust,99352,93.4,BAC Capital Trust IV
BAC Canada Finance Company,5045,bac canada finance company,bac,Pakistan Tobacco Company,107023,91.2,bac canada,Texaco Canada Income,12958,85.0,bac canada finance,INA,65640,84.2,BAC Capital Trust IV
BAC Capital Trust VI,21984,bac capital vi,bac,BAC Capital Trust IV,62793,98.6,bac capital,BAC Capital Trust IV,62793,98.6,bac capital vi,Security Capital,76742,93.4,BAC Capital Trust IV
BAC Capital Trust VIII,20781,bac capital viii,bac,BAC Capital Trust IV,62793,97.4,bac capital,BAC Capital Trust IV,62793,97.4,bac capital viii,Capital Trust,99352,92.2,BAC Capital Trust IV
BAC Capital Trust XI,22094,bac capital xi,bac,BAC Capital Trust IV,62793,98.6,bac capital,BAC Capital Trust IV,62793,98.6,bac capital xi,Capital Securities,115447,93.4,BAC Capital Trust IV
BAC LB Capital Funding Trust II,24449,bac lb capital funding ii,bac,BAC Capital Trust IV,62793,93.4,bac lb,BAC Lieu Fisheries,125097,75.80000000000001,bac lb capital,Capital Limited,125283,88.8,BAC Capital Trust IV
BAE Systems Holdings Inc.,21755,bae systems holdings,bae,BAE Systems,124449,94.2,bae systems,BAE Systems,124449,94.2,bae systems holdings,Systems Holdings,114020,97.8,
BANCA POPOLARE DI VICENZA SOCIETA PER AZIONI,12184,banca popolare di vicenza societa per azioni,banca,Banca Popolare di Verona (XETRA),310144,94.2,banca popolare,Banca Popolare di Verona (XETRA),310144,94.2,banca popolare di,Banca Popolare di Verona (XETRA),310144,94.2,Banca Popolare di
BANK OF CHINA (DUBAI) BRANCH,2731,bank of china (dubai) branch,bank,Bank of Hawaii DRC Each,184657,93.4,bank of,Bank of Hawaii DRC Each,184657,93.4,bank of china,Bank of China 'H',162413,93.4,Bank of China
BANK OF CHINA (LUXEMBOURG) S.A.,15184,bank of china (luxembourg),bank,Bank of China 'H' (XETRA),290651,95.0,bank of,Bank of China 'H' (XETRA),290651,95.0,bank of china,Bank of China 'H' (XETRA),290651,95.0,Bank of China
BANQUE POPULAIRE AQUITAINE CENTRE ATLANTIQUE,8550,banque populaire aquitaine centre atlantique,banque,Banque Transatlantique,15429,92.2,banque populaire,Banque Populaire,106355,90.6,banque populaire aquitaine,Banque Populaire,106355,90.6,BANQUE POPULAIRE
BANQUE POPULAIRE ATLANTIQUE S.A.,8412,banque populaire atlantique,banque,Banque Populaire,106355,94.8,banque populaire,Banque Populaire,106355,94.8,banque populaire atlantique,Banque Populaire,106355,94.8,BANQUE POPULAIRE
BANQUE POPULAIRE BOURGOGNE FRANCHE-COMTE S.A.,8505,banque populaire bourgogne franche-comte,banque,Banque Populaire,106355,91.4,banque populaire,Banque Populaire,106355,91.4,banque populaire bourgogne,Banque Populaire,106355,91.4,BANQUE POPULAIRE
BANQUE POPULAIRE COTE D'AZUR S.A.,8504,banque populaire cote d'azur,banque,Banque Populaire,106355,94.6,banque populaire,Banque Populaire,106355,94.6,banque populaire cote,Banque Populaire,106355,94.6,BANQUE POPULAIRE
BANQUE POPULAIRE DE L'OUEST S.C.,8478,banque populaire de l'ouest s.c.,banque,Banque Populaire,106355,93.4,banque populaire,Banque Populaire,106355,93.4,banque populaire de,Banque Populaire,106355,93.4,BANQUE POPULAIRE
BANQUE POPULAIRE DES ALPES S.A.,8503,banque populaire des alpes,banque,Banque Populaire,106355,95.2,banque populaire,Banque Populaire,106355,95.2,banque populaire des,Banque Populaire,106355,95.2,BANQUE POPULAIRE
BANQUE POPULAIRE DU MASSIF CENTRAL S.A.,8508,banque populaire du massif central,banque,Banque Populaire,106355,92.8,banque populaire,Banque Populaire,106355,92.8,banque populaire du,Banque Populaire,106355,92.8,BANQUE POPULAIRE
BANQUE POPULAIRE DU NORD S.A.,8433,banque populaire du nord,banque,Banque Populaire,106355,96.0,banque populaire,Banque Populaire,106355,96.0,banque populaire du,Banque Populaire,106355,96.0,BANQUE POPULAIRE
BANQUE POPULAIRE DU SUD COFAV,8502,banque populaire du sud cofav,banque,Banque Populaire,106355,94.2,banque populaire,Banque Populaire,106355,94.2,banque populaire du,Banque Populaire,106355,94.2,BANQUE POPULAIRE
BANQUE POPULAIRE OCCITANE S.C.,8488,banque populaire occitane s.c.,banque,Banque Populaire,106355,94.0,banque populaire,Banque Populaire,106355,94.0,banque populaire occitane,Banque Populaire,106355,94.0,BANQUE POPULAIRE
BANQUE POPULAIRE PROVENCALE ET CORSE,8482,banque populaire provencale et corse,banque,Banque Populaire,106355,92.4,banque populaire,Banque Populaire,106355,92.4,banque populaire provencale,Banque Populaire,106355,92.4,BANQUE POPULAIRE
BANQUE POPULAIRE RIVES DE PARIS S.C.,8479,banque populaire rives de paris s.c.,banque,Banque Nationale de Paris CI,165344,93.2,banque populaire,Banque Populaire,106355,92.4,banque populaire rives,Banque Populaire,106355,92.4,BANQUE POPULAIRE
BANQUE POPULAIRE VAL DE FRANCE,8484,banque populaire val de france,banque,Banque Populaire,106355,94.0,banque populaire,Banque Populaire,106355,94.0,banque populaire val,Banque Populaire,106355,94.0,BANQUE POPULAIRE
BARCLAYS BANK IRELAND PUBLIC LIMITED COMPANY,10959,barclays bank ireland public company,barclays,Barclays Bank Ipath Bloomberg Grains,139357,92.8,barclays bank,Barclays Bank Ipath Bloomberg Grains,139357,92.8,barclays bank ireland,Barclays,124439,87.2,Barclays
BARCLAYS BANK UK PLC,9864,barclays bank uk,barclays,Barclays Bank ADR 1:1,193303,95.2,barclays bank,Barclays Bank ADR 1:1,193303,95.2,barclays bank uk,Barclays,124439,93.4,Barclays
BAT International Finance PLC,9037,bat international finance,bat,Bata India (National India),221205,93.8,bat international,International,206505,93.6,bat international finance,National Finance,112023,95.6,
"BBVA 3 FTPYME,Fondo de Titulizacion de Activos",8036,bbva 3 ftpymefondo de titulizacion de activos,bbva,BBVA - BMV Mexico Enlace RT Trac,173011,89.4,bbva 3,BBVA - BMV Mexico Enlace RT Trac,173011,75.80000000000001,bbva 3 ftpymefondo,Fonon,54425,68.0,BBVA
BBVA Autos 1 Fondo de Titulizacion de Activos,8031,bbva autos 1 fondo de titulizacion de activos,bbva,BBVA - BMV Mexico Enlace RT Trac,173011,88.8,bbva autos,OS,112545,81.8,bbva autos 1,OS,112545,81.8,BBVA
BBVA Autos 2 Fondo de Titulizacion de Activos,8053,bbva autos 2 fondo de titulizacion de activos,bbva,BBVA Capital Funding (XETRA),304736,88.8,bbva autos,OS,112545,81.8,bbva autos 2,OS,112545,81.8,BBVA
BBVA BANCOMER SA Texas Branch,24200,bbva bancomer texas branch,bbva,BBVA Bancomer Mextrac,171651,96.2,bbva bancomer,BBVA Bancomer Mextrac,171651,96.2,bbva bancomer texas,BBVA Bancomer,24637,93.4,BBVA
BBVA Banco de Financiacion SA,8093,bbva banco de financiacion,bbva,BBVA Banco Frances,80425,93.6,bbva banco,BBVA Banco Frances,80425,93.6,bbva banco de,Security Banc,76741,85.4,BBVA
BBVA Bancomer Servicios SA,15595,bbva bancomer servicios,bbva,BBVA Bancomer Mextrac,171651,95.4,bbva bancomer,BBVA Bancomer Mextrac,171651,95.4,bbva bancomer servicios,BBVA Bancomer,24637,94.4,BBVA
"BBVA Bancomer, S.A. de C.V.",15571,bbva bancomer de c.v.,bbva,BBVA Bancomer Mextrac,171651,95.2,bbva bancomer,BBVA Bancomer,24637,95.2,bbva bancomer de,BBVA Bancomer,24637,95.2,BBVA
"BBVA CAPITAL FINANCE, S.A.U.",8024,bbva capital finance s.a.u.,bbva,BBVA Capital Funding,15129,93.6,bbva capital,BBVA Capital Funding,15129,93.6,bbva capital finance,Capital Limited,125283,88.2,BBVA
"BBVA Consumo 1, Fondo de Titulizacion de Activ",8059,bbva consumo 1 fondo de titulizacion de activ,bbva,BBVA Dow Jones STOXX Euro 50,162421,88.8,bbva consumo,NS,121444,81.8,bbva consumo 1,Mo,60623,81.8,BBVA
BBVA Consumo 2 Fondo de Titulizacion de Activo,8070,bbva consumo 2 fondo de titulizacion de activo,bbva,BBVA - BMV Mexico Enlace RT Trac,173011,88.8,bbva consumo,NS,121444,81.6,bbva consumo 2,NS,121444,81.6,BBVA
BBVA FINANZIA AUTOS 1 Fondo de Titulizacion de,8073,bbva finanzia autos 1 fondo de titulizacion de,bbva,BBVA Privanza International Preferred C Gibraltar ADR 1:1,142682,89.4,bbva finanzia,INA,65640,82.4,bbva finanzia autos,INA,65640,82.4,BBVA
BBVA Global Finance Ltd,14716,bbva global finance,bbva,BBVA Banco Frances,80425,94.0,bbva global,Global Securities,100799,89.6,bbva global finance,Global,109885,89.6,BBVA
BBVA Global Markets B.V.,16299,bbva global markets b.v.,bbva,BBVA Banco Frances,80425,90.4,bbva global,Global,109885,88.0,bbva global markets,Global Securities,100799,88.0,BBVA
BBVA International Limited,14720,bbva international,bbva,BBVA Preferred Capital,193335,91.0,bbva international,International,206505,96.8,bbva international,International,206505,96.8,BBVA
BBVA International Preferred S.A. Unipersonal,8050,bbva international preferred unipersonal,bbva,BBVA Privanza International Preferred B ADR 1:1,193337,93.8,bbva international,International,206505,89.8,bbva international preferred,National Trust Preferred,146042,92.4,BBVA
"BBVA Senior Finance, S.A. Unipersonal",8038,bbva senior finance unipersonal,bbva,BBVA Banco Frances,80425,91.4,bbva senior,Senior,124631,86.4,bbva senior finance,Senior,124631,86.4,BBVA
"BBVA Subordinated Capital, S.A. Unipersonal",8042,bbva subordinated capital unipersonal,bbva,BBVA Capital Funding,15129,92.0,bbva subordinated,Ordina,94945,85.6,bbva subordinated capital,Capital Limited,125283,86.4,BBVA
BBVA U.S. Senior S.A. Unipersonal,8058,bbva u.s. senior unipersonal,bbva,BBVA (Buenos Aires),215015,91.0,bbva u.s.,BBVA (Buenos Aires),215015,64.6,bbva u.s. senior,Senior,124631,87.0,BBVA
BBVA-4 PYME Fondo de Titulizacion de Activos,8047,bbva-4 pyme fondo de titulizacion de activos,bbva-4,BBVA - BMV Mexico Enlace RT Trac,173011,75.80000000000001,bbva-4 pyme,Pryme,112944,67.2,bbva-4 pyme fondo,EF On,109263,68.0,BBVA
BBVA-5 FTPYME Fondo de Titulizacion de Activos,8065,bbva-5 ftpyme fondo de titulizacion de activos,bbva-5,BBVA - BMV Mexico Enlace RT Trac,173011,75.60000000000001,bbva-5 ftpyme,Pryme,112944,67.2,bbva-5 ftpyme fondo,Mondo,10233,68.0,BBVA
BBVA-6 FTPYME Fondo de Titulizacion de Activos,8075,bbva-6 ftpyme fondo de titulizacion de activos,bbva-6,BBVA - BMV Mexico Enlace RT Trac,173011,75.60000000000001,bbva-6 ftpyme,Pryme,112944,67.2,bbva-6 ftpyme fondo,Fonds,109636,68.0,BBVA
BCL International Finance Limited,14707,bcl international finance,bcl,BCLS Acquisition A,135791,90.2,bcl international,International,206505,93.6,bcl international finance,National Finance,43130,95.6,BCL
BCP Emisiones Latam 1 S.A.,5773,bcp emisiones latam 1,bcp,BCP Cash Component,162422,89.2,bcp emisiones,Iones,119872,87.6,bcp emisiones latam,Iones,119872,87.6,BCP
BCP Finance Company,14718,bcp finance company,bcp,BCP Finance (Frankfurt),15151,93.4,bcp finance,BCP Finance (Frankfurt),15151,93.4,bcp finance company,Trust Company,4284,90.8,BCP
BFF International Ltd.,14854,bff international,bff,BFF Bank,88168,89.6,bff international,International,206505,97.4,bff international,International,206505,97.4,BFF
BMO Capital Trust,5046,bmo capital,bmo,Bmont Split Capital Shares,5731,91.8,bmo capital,Security Capital,76742,95.6,bmo capital,Security Capital,76742,95.6,BMO
BMO Capital Trust II,5143,bmo capital ii,bmo,Bmont Split Capital Shares,5731,92.0,bmo capital,Security Capital,76742,93.4,bmo capital ii,Capital Limited,125283,93.4,BMO
BMO Harris Bank National Association,21207,bmo harris bank national association,bmo,BMO International Dividend ETF,153529,91.0,bmo harris,AR,24258,82.2,bmo harris bank,Security Bank,57405,84.0,BMO
BMO Subordinated Notes Trust,5184,bmo subordinated notes,bmo,BMO Discount Bond Index ETF,153497,91.4,bmo subordinated,Ordina,94945,88.6,bmo subordinated notes,Ordina,94945,88.6,BMO
BMW (UK) Capital plc,9034,bmw (uk) capital,bmw,BMW (Bucharest),223985,91.6,bmw (uk),BMW,87374,86.4,bmw (uk) capital,Security Capital,200314,92.2,BMW
BMW Australia Finance Limited,3264,bmw australia finance,bmw,BMW Industries,99219,91.4,bmw australia,Austral,177447,90.0,bmw australia finance,Austral,177447,90.0,BMW
"BMW Automotive Finance (China) Co., Ltd.",6977,bmw automotive finance (china),bmw,BMW Preference (XETRA),162443,90.0,bmw automotive,Motive,74996,86.6,bmw automotive finance,Consumer Automotive Finance,128982,86.8,BMW
"BMW Bank of North America, Inc.",22137,bmw bank of north america,bmw,BMW (SEAQ International),221266,89.8,bmw bank,Security Bank,57405,85.6,bmw bank of,Security Bank,200310,85.6,BMW
BMW Canada Inc.,5138,bmw canada,bmw,BMW (EASDAQ),293652,92.8,bmw canada,BMW,87374,89.2,bmw canada,BMW,87374,89.2,BMW
"BMW FINANCIAL SERVICES KOREA CO.,LTD.",14304,bmw financial services korea co.ltd.,bmw,BMW Preference (Non-NASDAQ OTC),250141,89.0,bmw financial,Financial Trust,64753,88.0,bmw financial services,Financial Services,109572,93.4,BMW
BMW Finance N.V.,16160,bmw finance n.v.,bmw,BMW Preference,162442,90.6,bmw finance,INA,65640,86.4,bmw finance n.v.,BMW,87374,86.4,BMW
BMW Finance S.N.C.,8602,bmw finance s.n.c.,bmw,BMW Preference,162442,90.0,bmw finance,INA,65640,85.8,bmw finance s.n.c.,INA,65640,85.8,BMW
BMW India Financial Services Private Limited,11631,bmw india financial services private,bmw,BMW Industries,99219,89.6,bmw india,India Securities,26911,84.8,bmw india financial,IA Financial,80623,90.0,BMW
BMW International Investment B.V.,16412,bmw international investment b.v.,bmw,BMW (SEAQ International),221266,92.0,bmw international,International,206505,91.4,bmw international investment,National Investment,43131,94.6,BMW
BMW Japan Finance Corporation.,13499,bmw japan finance corporation.,bmw,BMW (SEAQ International),221266,91.2,bmw japan,Japan,27177,85.8,bmw japan finance,Japan Securities Finance,110689,92.0,BMW
BMW Malta Finance Ltd,15489,bmw malta finance,bmw,BMW (Milan),268531,91.4,bmw malta,Alta,107728,87.6,bmw malta finance,Tata Finance,30833,88.80000000000001,BMW
"BMW US Capital, LLC",21982,bmw us capital,bmw,BMW (Bucharest),223985,91.0,bmw us,BMW,87374,87.0,bmw us capital,Security Capital,76742,93.4,BMW
BNP PARIBAS CARDIF S.A.,8491,bnp paribas cardif,bnp,BNPP LC Eurpab ETF,162503,90.0,bnp paribas,Paribas,169734,91.2,bnp paribas cardif,Paribas,169734,91.2,BNP Paribas
BNP PARIBAS COLOMBIA CORPORACION FINANCIERA S.,7345,bnp paribas colombia corporacion financiera s.,bnp,BNPP Easy Ecpi (Milan) Circular Economy Leaders Ucits E,255295,89.6,bnp paribas,Paribas,20916,85.2,bnp paribas colombia,Paribas,169734,85.2,BNP Paribas
BNP PARIBAS Emissions- und Handelsgesellschaft,7635,bnp paribas emissions- und handelsgesellschaft,bnp,BNPP Easy (Milan) Engy and Metals Enhcd Roll U,255283,89.6,bnp paribas,Paribas,169734,85.2,bnp paribas emissions-,Paribas,169734,85.2,BNP Paribas
BNP PARIBAS FACTOR S.A.,8527,bnp paribas factor,bnp,BNPP LC Eurpab ETF,162503,90.0,bnp paribas,Paribas,20916,91.2,bnp paribas factor,Paribas,20916,91.2,BNP Paribas
BNP PARIBAS FINANSAL KIRALAMA ANONIM SIRKETI,18291,bnp paribas finansal kiralama anonim sirketi,bnp,BNPP Easy Ecpi Circular Economy Leaders Ucits E,162465,89.2,bnp paribas,Paribas,169734,85.4,bnp paribas finansal,Paribas,20916,85.4,BNP Paribas
BNP PARIBAS FORTIS,10361,bnp paribas fortis,bnp,BNPP LC Eurpab ETF,162503,90.0,bnp paribas,Paribas,169734,91.2,bnp paribas fortis,Paribas,20916,91.2,BNP Paribas
BNP PARIBAS LEASE GROUP S.A.,8436,bnp paribas lease group,bnp,BNPP Easy Engy and Metals Enhcd Roll U,162468,89.8,bnp paribas,Paribas,169734,89.4,bnp paribas lease,Paribas,20916,89.4,BNP Paribas
BNP PARIBAS LEASING SOLUTIONS AS,16580,bnp paribas leasing solutions as,bnp,Bnppe Ecpi GL ESG Blue Economy Ucits ETF Cap,162504,90.0,bnp paribas,Paribas,20916,87.2,bnp paribas leasing,Paribas,169734,87.2,BNP Paribas
BNP PARIBAS PERSONAL FINANCE S.A.,8405,bnp paribas personal finance,bnp,BNPP Rici Diesel (Touche Remnant) Enhanced ETC,139516,89.8,bnp paribas,Paribas,169734,88.0,bnp paribas personal,Paribas,20916,88.0,BNP Paribas
BNP PARIBAS PERSONAL FINANCE SOUTH AFRICA LTD,25630,bnp paribas personal finance south africa,bnp,BNPP Easy Sxep 600 (Berlin) Banks Ucits ETF Class,290711,89.8,bnp paribas,Paribas,169734,85.8,bnp paribas personal,Paribas,169734,85.8,BNP Paribas
BNP PARIBAS S.A.,10689,bnp paribas,bnp,BNPI,32892,90.6,bnp paribas,Paribas,20916,95.6,bnp paribas,Paribas,20916,95.6,BNP Paribas
BNP Paribas (China) Limited,6453,bnp paribas (china),bnp,BNPP Rici Natural Gas (Touche Remnant) Enhanced ETC,139518,88.6,bnp paribas,Paribas,20916,90.8,bnp paribas (china),Paribas,169734,90.8,BNP Paribas
BNP Paribas (Taipei Branch),18473,bnp paribas (taipei branch),bnp,BNPP Rici Natural Gas (Touche Remnant) Enhanced ETC,139518,88.8,bnp paribas,Paribas,20916,88.2,bnp paribas (taipei,Paribas,169734,88.2,BNP Paribas
